alternative_id,check_id,horizon,baseline_estimate,alternative_estimate,estimate_delta,baseline_standard_error,alternative_standard_error,baseline_nobs,alternative_nobs
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,0,0.03926033726243894,0.056371441007818414,0.017111103745379476,0.056984108791936015,0.06828474582350809,88,89
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,1,0.08884441550919353,0.11479345625355339,0.025949040744359858,0.1173044350317145,0.12670445225602156,87,88
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,2,-0.02728807154893864,-0.006306964584447683,0.02098110696449096,0.13744670035635603,0.13742070788185254,86,87
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,3,-0.06389949799356032,-0.05826569118656,0.005633806807000319,0.16012269767889292,0.16163018294122927,85,86
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,4,-0.0736382750717699,-0.07359543692221715,4.283814955274856e-05,0.20019531882191136,0.204653986870273,84,85
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,5,-0.228028544839038,-0.23537877627513082,-0.007350231436092813,0.2741903915745273,0.2805891752295567,83,84
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,6,-0.3743143784222882,-0.38809920404496473,-0.013784825622676522,0.315926425274495,0.33394365699943607,82,83
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,7,-0.36073642672522976,-0.38201619690076416,-0.021279770175534396,0.37204592313135926,0.3931561884934042,81,82
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,8,-0.4728469298278788,-0.48454378171657364,-0.011696851888694848,0.45459498943419524,0.4700765670576979,80,81
ra-alt-ed5c2aa2a14eddfa516c629020579ddc,ra-check-4381c1fabc0180978aec15efc6c64e44,9,-0.633574462499146,-0.6550358442279706,-0.021461381728824613,0.5331970962288147,0.5525398828531076,79,80
